brand,price,Kondisi,TahunKendaraan,Kilometer,Warna,Transmisi,JumlahGir,Pintu,KapasitasKursi,Dirakit,EngineCC,Baut(mm),Struk(mm),TenagaPuncak(hp),TenagaPutaranPuncak(Nm),InjeksiLangsung,Aspirasi,TipeBahanBakar,RadiusPutar,Panjang(mm),Lebar(mm),Tinggi(mm),JarakRoda(mm),ThreadDepan,ThreadBelakang,KonsumsiBahanBakar(L/100km),BeratKosong(kg),RasioKompresi,EmisiCO2,0-100km/jam(detik),KecepatanTertinggi(km/jam)
Toyota,615000000,Mobil Bekas,2024,0 - 5K km,Silver,Manual,5,4,16,Complete Built Up (CBU),2982,96,103,134,300,Direct Injection,Turbocharged,Solar,12.4,5380,1880,2285,3110,1665,1650,,,,,,
Toyota,175000000,Mobil Bekas,2014,110 - 115K km,Silver,Automatic,4,5,8,Complete Knock Down (CKD),1998,,,134,182,Multi-Point Injection,Aspirated,Pertamax,,4585,1760,1750,2750,1510,1510,10.5,1535,,,,
Toyota,288000000,Mobil Bekas,2012,170 - 175K km,Putih,Automatic,7,5,7,Complete Built Up (CBU),2362,88.5,96,168,220,Multi-Point Injection,Aspirated,Pertamax,11.8,4885,1840,1900,2950,1570,1575,9.4,1890,9.6,218,,
Suzuki,180000000,Mobil Bekas,2020,40 - 45K km,Orange,Automatic,4,5,7,Complete Knock Down (CKD),1462,74,85,103,138,Multi-Point Injection,Aspirated,Pertamax,10.2,4450,1775,1710,2740,1515,1530,,,10.5,,,
Toyota,199000000,Mobil Bekas,2019,40 - 45K km,Putih,Automatic,4,5,7,Complete Knock Down (CKD),1496,72.5,90.6,103,136,Multi-Point Injection,Aspirated,Pertamax,,4435,1695,1705,2685,1450,1460,,,,,,
Mitsubishi,307900000,Mobil Baru,2024,- km,Putih,Automatic,,5,7,Complete Knock Down (CKD),1499,75,84.8,103,141,Multi-Point Injection,Aspirated,Pertamax,10.4,4595,1750,1750,,,,,,,,,
Mitsubishi,190000000,Mobil Bekas,2018,105 - 110K km,Abu-abu,Automatic,4,5,7,Complete Knock Down (CKD),1499,75,84.8,103,141,Multi-Point Injection,Aspirated,Pertamax,10.4,4475,1750,1700,2275,,,,,,,,
Honda,305000000,Mobil Bekas,2017,60 - 65K km,Abu-abu,Automatic,,4,5,Complete Built Up (CBU),1498,73,89.5,173,220,Direct Injection,Turbocharged,Pertamax,,4630,2075,1416,2700,1547,1563,6,,10.6,140,6.8,
Mitsubishi,260200000,Mobil Baru,2024,- km,Hitam,Manual,5,5,7,Complete Knock Down (CKD),1499,75,84.8,103,141,Multi-Point Injection,Aspirated,Pertamax,10.4,4595,1750,1730,,,,,,,,,
Suzuki,235000000,Mobil Baru,2024,0 - 5K km,Hitam,Automatic,4,5,5,Complete Built Up (CBU),1462,74,85,103,138,Multi-Point Injection,Aspirated,Pertamax,10.2,3990,1745,1485,2520,1505,1510,4.5,,,,,
Honda,175000000,Mobil Bekas,2016,155 - 160K km,Silver,Automatic,,5,5,Complete Knock Down (CKD),1497,73,89.4,118,145,Multi-Point Injection,Aspirated,Pertamax,,4294,1772,1580,2610,1472,1475,6.5,1226,10.3,155,,
Suzuki,141525000,Mobil Baru,2024,0 - 5K km,Putih,Manual,5,2,3,Complete Knock Down (CKD),1462,74,85,96,135,Multi-Point Injection,Aspirated,Pertamax,8.8,4195,1675,1870,2205,1345,1330,,,,,,
Mercedes-Benz,1440000000,Mobil Baru,2024,0 - 5K km,Putih,Automatic,9,5,5,Complete Knock Down (CKD),1999,,,258,400,Direct Injection,Turbocharged,Pertamax,11.8,4721,2076,1631,2888,,,7.3,1925,10,167,6.2,240
Toyota,132000000,Mobil Bekas,2014,110 - 115K km,Silver,Automatic,4,5,7,Complete Knock Down (CKD),1496,72.5,90.6,103,136,Multi-Point Injection,Aspirated,Pertamax,,4140,1660,1695,2655,,,7.6,1105,,178,,
Hyundai,317400000,Mobil Baru,2024,0 - 5K km,Merah,Automatic,,5,7,Complete Knock Down (CKD),1497,75.6,83.4,113,144,Multi-Point Injection,Aspirated,Pertamax,,4495,1815,1710,2780,,,,,10.5,,,
Toyota,125000000,Mobil Bekas,2011,105 - 110K km,Hitam,Automatic,4,5,5,Complete Knock Down (CKD),1495,,,107,141,Multi-Point Injection,Aspirated,Pertamax,,4420,1745,1740,2685,,,,1200,,,,
Honda,305000000,Mobil Bekas,2017,60 - 65K km,Putih,Automatic,5,5,5,Complete Knock Down (CKD),2354,,,188,222,Multi-Point Injection,Aspirated,Pertamax,,4595,1820,1685,2620,1580,1580,8.4,1560,,196,,
Honda,230000000,Mobil Bekas,2015,145 - 150K km,Hitam,Automatic,5,5,5,Complete Knock Down (CKD),2354,87,99,187,222,Multi-Point Injection,Aspirated,Pertamax,11.8,4545,1820,1685,2620,1565,1565,8.4,1530,10,196,,
Honda,130000000,Mobil Bekas,2017,50 - 55K km,Silver,Automatic,5,5,5,Complete Knock Down (CKD),1199,73,71.6,89,110,Multi-Point Injection,Aspirated,Pertamax,,3640,1680,1485,2345,1480,1465,,960,,,,
Hyundai,317400000,Mobil Baru,2024,0 - 5K km,Silver,Automatic,,5,7,Complete Knock Down (CKD),1497,75.6,83.4,113,144,Multi-Point Injection,Aspirated,Pertamax,,4495,1815,1710,2780,,,,,10.5,,,
Hyundai,317400000,Mobil Baru,2024,0 - 5K km,Putih,Automatic,,5,7,Complete Knock Down (CKD),1497,75.6,83.4,113,144,Multi-Point Injection,Aspirated,Pertamax,,4495,1815,1710,2780,,,,,10.5,,,
Mazda,668800000,Mobil Baru,2023,0 - 5K km,Putih,Automatic,6,5,5,Complete Built Up (CBU),2488,89,100,188,252,Direct Injection,Aspirated,Pertamax,11,4550,1840,1680,2700,1595,1595,,1604,13,,,
Mazda,565000000,Mobil Baru,2024,0 - 5K km,Abu-abu,Automatic,6,5,5,Complete Built Up (CBU),1998,83.5,91.2,153,200,Direct Injection,Aspirated,Pertamax,10.6,4460,1765,1435,2725,1570,1580,,1400,13,,,
